user_code,age_group,department,disability,gender,LC-What is the main challenge of the tasks in the task set A and B?,LC-The LC visualisation along with the text is useful (5 = strongly agreeÂ  - 1 = disagree),LC-Have you used the LC visualisation for better interpretation in the multi-document task? (5 = only used visualisationÂ  - moderately used visualisation - 1 = didn't used visualisation),LC-Notes
GOLD_1,21_30,Computing,False,female,Both text and visualisation were difficult;,2,1,"Failed to understand relation between  words. Labeling could be useful. Although didn't used multiple document visualization during task, she thinks that along with the text, it can help to understand emphasis. The text itself was not answering all the information required. She based her story based on previous knowledge Decided not to use the local context visualization in multiple document task as it was difficult in first 2 test sets. Complained about terms in both visualization and filtering. Parts of speech labels for LC hasn't loaded correctly in the browser. Biased on previous knowledge."
GOLD_11,21_30,Computing,False,female,The visualisation tool was difficult to interpret;,2,1,GOLD_11 (Task set A and B) Viz was difficult   
GOLD_12,upto_20,Anthropology ,False,female,The visualisation tool was difficult to interpret;,2,1,GOLD_12 (Task set A and B) Participant failed to share screen. I allowed her to do the tasks but guided via chat. Didn't understand at all     GOLD_12 (Task set A and B) One with the circles harder to interpret. Document was easier
GOLD_13,21_30,Institute of Management Studies,False,female,The visualisation tool was difficult to interpret;,1,1,GOLD_13 (Task set A and B) less contextual details     GOLD_13 (Task set A and B) TB visualization was difficult as it wasn't help to filter the documents The context was a bit confusing
GOLD_14,21_30,Department of Art,False,female,The documents were hard to understand;,2,1,GOLD_14 (Task set A and B) Wanted to use translator. We didn't had facility for that. Unfamiliar context       -  Less contextul details   
GOLD_15,41_50,Sociology,False,female,The visualisation tool was difficult to interpret;,3,2,GOLD_15 (Task set A and B)  Took breaks between task set types Liked the visualization but didn't used it much for multi document task  
GOLD_16,21_30,English and Creative Writing,False,female,The visualisation tool was difficult to interpret;,1,1,GOLD_16 (Task set A and B) Struggle with visualization  Not confident with the answer with visualization   The participant really enjoyed the task. She took it as a training. These ideas will help her to write her phd.  
GOLD_17,21_30,Computing,False,female,None of the above;,4,4,GOLD_17 (Task set A and B)     - Visualization was clear  
GOLD_18,21_30,Computing,False,male,The visualisation tool was difficult to interpret;,3,2,GOLD_18 (Task set A and B)     - Less contextual details  
GOLD_19,31_40,Institute of Creative and Cultural Entrepreneurship,False,female,The visualisation tool was difficult to interpret;,2,2,GOLD_19 (Task set A and B) Difficult to understand visualization Didn't like head twist  
GOLD_2,21_30,Computing,False,female,The documents were hard to understand;The visualisation tool was difficult to interpret;,4,3,GOLD_2 (Task set A and B) Labels colours are missing in her browser too Document needed effort for understanding. Not well read but readable. Lot of colours to keep track With time it became easy to interpret in the multiple document task.   
GOLD_20,21_30,English and Creative Literature,False,male,The visualisation tool was difficult to interpret;,3,1,GOLD_20 (Task set A and B) Visualization was hard. Took a while to understand. Writing is very small. Text is small  
GOLD_21,31_40,Visual Cultures,False,female,The visualisation tool was difficult to interpret;,3,4,GOLD_21 (Task set A and B) Viz was difficult  
GOLD_22 ,51_plus,Computing,True,male
