"Event Category","Event Action","Event Label","Total Events","Users","Event Value","Time on Page","Time on Screen"
"Terms Board -- GOLD_15","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",343,1,343,"00:00:00","00:00:00"
"Terms Board -- GOLD_31","lc-reading -- thromboembolic-events-don-t-appear-higher-in-vaccinated-population-ema-says","viz -- astrazeneca -- whyPositiveBox -- consistent",167,1,167,"00:00:00","00:00:00"
"Terms Board -- GOLD_31","lc-reading -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners","text -- pfizer -- --",167,1,167,"00:00:00","00:00:00"
"Terms Board -- GOLD_31","lc-reading -- sosei-heptares-hits-milestone-in-pfizer-collaboration","text -- pfizer -- --",166,1,166,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",149,1,149,"00:00:00","00:00:00"
"Terms Board -- GOLD_17","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",126,1,126,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","lc-reading -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners","text -- pfizer -- --",105,1,105,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-reading -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- --",105,1,105,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","lc-reading -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- --",99,1,99,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",96,1,96,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-reading -- sosei-heptares-hits-milestone-in-pfizer-collaboration","text -- pfizer -- --",92,1,92,"00:00:00","00:00:00"
"Terms Board -- GOLD_9","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",91,1,91,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-reading -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- --",84,1,84,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-reading -- coronavirus-vaccine-approved-for-use-in-children","text -- pfizer -- --",83,1,83,"00:00:00","00:00:00"
"Terms Board -- GOLD_19","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",68,1,68,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",67,1,67,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","lc-reading -- ema-finds-possible-link-of-astrazeneca-s-covid-19-vaccine-with-rare-blood-clots","viz -- astrazeneca -- whyNegativeBox -- consistent",58,1,58,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",55,1,55,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-tems-display -- whatTopicBox -- consistent","viz -- astrazeneca",52,1,52,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-reading -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- --",51,1,51,"00:00:00","00:00:00"
"Terms Board -- GOLD_15","termsboard-tems-display -- whatActionBox -- new_to_old","viz -- astrazeneca",50,1,50,"00:00:00","00:00:00"
"Terms Board -- GOLD_18","lc-reading -- ec-signs-up-for-1-8-billion-additional-doses-of-comirnaty","text -- pfizer -- --",48,1,48,"00:00:00","00:00:00"
"Terms Board -- GOLD_9","termsboard-tems-display -- whoBox -- consistent","viz -- astrazeneca",47,1,47,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whereBox -- old_to_new","viz -- astrazeneca",46,1,46,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",46,1,46,"00:00:00","00:00:00"
"Terms Board -- GOLD_31","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",45,1,45,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whatActionBox -- old_to_new","viz -- astrazeneca",43,1,43,"00:00:00","00:00:00"
