"story_term","user_code","age_group","agreed","close_date_time","close_timestamp","created","department","disability","ease","environment","experiment_date_datepicker","gender","id","open_date_time","open_timestamp","summary","task_condition","task_key","task_level","time_taken_in_seconds"
"pfizer","GOLD_1","21_30","true","2021-10-15 11:41:18","1636976478389","15/11/2021 11:41:20","Computing","false","5","production","2021-11-15","female","afc2aaa6-bfa5-4c5e-8a39-0385a50a10d7","2021-10-15 11:20:21","1636975221954","Pfizer's Corona virus vaccine has been rolled out across the world, showing good results in stopping the COVID virus spread. 

It was initially approved for use for adults, however as more studies are finalised, they show good results for adolescents and children. The vaccine has been approved for these age groups in spring 2021. 

Another good news about Pfizer's vaccine is that it is also effective for the B.1.617.2 variant, with a efficacy of 88%. The vaccine's shelf life has been also extended from 5 to 31 days at normal fridge temperature. 

These made the company very successful, recording $3.5 billion from the COVID-19 vaccine sells in the first quarter of 2021, predicting to reach $24.8 billion by the end of 2021.","text","pfizer","post_graduate_phd","1256435"
"pfizer","GOLD_11","21_30","true","2021-10-20 11:4:18","1637406258040","20/11/2021 11:04:19","Computing","false","4","production","2021-11-20","female","af383ff3-2508-4cc4-98fd-557d7f37e113","2021-10-20 10:53:29","1637405609016","The Pfizer vaccine was proven to be effective in preventing Covid, which resulted in large profits for the company BioNTech. It continues to remain an effective treatment for Covid and has been proven to be effective against the ""Indian strain"" and a Brazilian variant and has been approved for use in adolesents by the FDA. The shelf-life has also been extended. Ultimately, the Pfizer vaccine has been very effective and provides a positive way out of the pandemic. It is very effective for both adolescents and children.","text","pfizer","post_graduate_ma_msc","649024"
"pfizer","GOLD_12","upto_20","true","2021-10-21 11:5:24","1637492724313","21/11/2021 11:05:25","Anthropology ","false","3","production","2021-11-21","female","0e546958-78a0-4ce3-9fc7-9c1f53852008","2021-10-21 10:56:58","1637492218248","Whilst the vaccines are so important because they have managed to save so many lives and make so many more people feel comfortable in this uncertain world. It is important that we look at it not only on a moral level but also from the less encouraging perspective of the capitalist gain that is being seen through the production of vaccines. Not only are the vaccines being distributed in greater density to european and western countries who most likely already have more resources to deal with COVID patients that developing countries may, but also the wealth that the vaccine companies are accumulating from the sales of their vaccines are not being put to the greater humanitarian use such as being used to ' vaccinate 1.3 billion people.' ","text","pfizer","under_graduate_year_2","506065"
"pfizer","GOLD_13","21_30","true","2021-10-21 18:29:51","1637519391689","21/11/2021 18:29:53","Institute of Management Studies","false","4","production","2021-11-21","female","ed80ba60-ca79-42aa-bd9e-aef1287503a2","2021-10-21 18:6:19","1637517979954","The Pfizer/BioNTech vaccine was approved to be used by adults in December 2020. To ensure that the vaccine can cover younger people, they are developing the shot to reach younger and more vulnerable demographics.

The trials done by Pfizer/BioNTech has found better efficacy for patients aged 12 to 15 years as compared to  those 16 to 25 years. In fact, Canada and the FDA has approved the usage of the Pfizer/BioNTech vaccine for 12 to 15 year old.

Pfizer has also confirmed that it intends to submit for US authorisation for the vaccine to be used in younger children and toddlers in September, and for infants by the end of the year.

The shelf-life has been increased to 31 days. This will help improve the storage, making it possible to cover more health facilities, ensuring that more people can be vaccinated against the coronavirus.

The Pfizer/BioNTech vaccine is also effective against the ""Indian"" and the ""Brazillian"" variant, and that the immunity will  continue to build over time.","text","pfizer","post_graduate_ma_msc","1411735"
"pfizer","GOLD_14","21_30","true","2021-10-22 11:7:30","1637579250206","22/11/2021 11:07:32","Department of Art","false","3","production","2021-11-22","female","6b077089-a9e8-4b5d-a5c5-c08ed4b1d9c2","2021-10-22 10:57:8","1637578628836","On 2021.03.09, Lab research suggests that Comirnaty, the coronavirus vaccine developed by BioNTech and Pfizer, could be effective against a Brazilian variant of concern. On 03.18, Pfizer to quit making biosimilar in China; sells out to WuXi. Pyxis Oncology in-licenses ADC candidates from Pfizer. Pfizer has made progress in a novel oral antiviral for the disease and they have initiated a study of their coronavirus vaccine in children aged 6-12. And the Latest Pfizer-BioNTech results offer youthful optimism.","text","pfizer","post_graduate_ma_msc","621370"
"pfizer","GOLD_15","41_50","true","2021-10-23 12:11:29","1637669489978","23/11/2021 12:11:31","Sociology","false","2","production","2021-11-23","female","95e86910-b7be-45e2-9a94-c696fae4f932","2021-10-23 11:57:55","1637668675950","The drug company that produce one of three new Covid-19 vaccines - Pfizer - continues to go from strength to strength as they announce positive results from vaccination trials in young people. The US pharma giant Pfizer in collaboration with their German partner BioNTech has already had approval for the administration of the vaccine in people aged 16 years and older in the US. The Pfizer vaccine along with the BioNTech vaccine has now been approved for use in Canada for young people aged between 12 and 15 years old by  the Canadian medicines regulator.","text","pfizer","post_graduate_phd","814028"
"pfizer","GOLD_16","21_30","true","2021-10-22 19:19:22","1637608762530","22/11/2021 19:19:24","English and Creative Writing","false","3","production","2021-11-22","female","5a0f3b2f-c312-4a6a-bb3f-1d7ba3802a61","2021-10-22 18:57:5","1637607425952","Pfizer: An Effective Vaccine to Fight Strains of SARS-CoV-2
Pfizer, a leading developer of coronavirus vaccines, has made tremendous progress by achieving a force-shield against the myriad strains of the COVID-19 virus. 
In March of this year, the mRNA-based vaccine had proven to be effective in resisting the highly contagious P1 variant that spread throughout Brazil, despite the variants resistance and transmissibility. A recent study by the Public Health England (PHE) showed that Pfizer provided 88% protection against the B.1.617.2 variant, or the Indian variant, two weeks after a second dose, while protection afforded by two doses of Vaxzevria, from AstraZeneca, was about 60% against this strain after two weeks.
In its aim to prevent infection of the virus, the vaccine has not only fulfilled its primary function but also resisted mutated forms of the same.


","text","pfizer","post_graduate_ma_msc","1336578"
"pfizer","GOLD_17","21_30","true","2021-10-23 13:55:41","1637675741473","23/11/2021 13:55:43","Computing","false","2","production","2021-11-23","female","82b03a88-2572-427c-bd28-b466909fa0c7","2021-10-23 13:40:6","1637674806379","Pharmaceutical companies, especially Pfizer, in several countries have made numerous achievements in the vaccine research against the coronavirus. For example, Pfizer, BioNTech and AstraZeneca are effective against the so-called Indian variant. At the same time, the US has expanded Pfizer's emergency use authorization and relaxed age restrictions. The Japan-based Sosei Group has reached a new level of cooperation with Pfizer. It is worth mentioning that the US Food and Drug Administration (FDA) has approved Myfembree, which is also developed with the participation of Pfizer, the first once-daily treatment for the management of heavy menstrual bleeding associated with uterine fibroids in premenopausal women.

","text","pfizer","post_graduate_ma_msc","935094"
"pfizer","GOLD_18","21_30","true","2021-10-24 14:31:8","1637764268979","24/11/2021 14:31:10","Computing","false","4","production","2021-11-24","male","9ed8528e-f7c4-4340-a9c4-54d22ce2707a","2021-10-24 14:10:50","1637763050160","UK MINISTERS APPROVE AND ORDER PFIZER BOOSTER DRUG FOR WINTER TREATMENT

UK ministers last Tuesday approved the order of new Pfizer COVID-19 drug Hyperventol for the nation in a move which has been deemed premature and naive by some Tory MPs.

Commenting on the booster jab British Health Secretary Matt Hancock said the evidence was “effective and important for the British public and our NHS,” adding: “We can now be unshakeably confident that over 24 million people – more than one in three – will have additional protection against the virus and incoming strains.”

The new jab has been criticised by some Tory backbenchers as being less than effective with the order being premature against the nation's continuing rollout of Moderna, Astrazenica, and Moderna vaccines. Some statisticians and polling data such as LuckyData have suggested that few would be willing to take a booster jab so early after their own vaccines.

The order of 24 million booster jabs will cost the UK economy upwards of £88 million will only providing an increase of 72% effectiveness in the elderly and an estimated 43% in children. An additional 28 million agreed doses are expected to be delivered on a monthly schedule beginning Mach 2022 and continuing into 2023.","text","pfizer","post_graduate_ma_msc","1218819"
"pfizer","GOLD_19","31_40","true","2021-10-24 19:41:0","1637782860607","24/11/2021 19:41:02","Institute of Creative and Cultural Entrepreneurship","false","3","production","2021-11-24","female","b7829f19-343a-4c1e-868f-0cc5f7a4eff2","2021-10-24 19:28:37","1637782117681","Researchers at Public Health England (PHE) have tested the Pfizer vaccine and seen positive results of 88% protection against the B.1.617.2 variant two weeks after a second dose. Pfizer proved to be more effective compared to AstraZeneca which tested at 60% against the strain after two weeks. 

In May 2021, UK’s Medicines and Healthcare products Regulatory Agency (MHRA) approved new storage conditions for the COVID-19 vaccine from Pfizer. It can now be stored at normal fridge temperatures for up to 31 days and it can be used in a wider range of healthcare settings. This would give patients greater access to the Pfizer vaccine. 

Based on clinical data proving safety and efficacy in this age group, the US Centers for Disease Control and Prevention (CDC) have also announced that it will be approving the use of the Pfizer vaccine in adolescents. The US believes that in doing so, they are strengthening their nation’s efforts to protect even more people from the effects of COVID-19. ","text","pfizer","post_graduate_ma_msc","742926"
